식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
아틀란티스 세덤,그림,Sedum takeimense 'Atlantis',"아틀란티스 세덤은 황금의 제국 '아틀란티스'처럼 화려한 생김새를 가지고 있어 붙여진 이름이에요. 부드럽고 도톰한 연두색 잎에 화사한 크림색 무늬가 정말 아름다운 식물이랍니다. 아틀란티스 세덤은 빛을 사랑하는 식물이에요. 밝은 빛을 오랫동안 받을 수 있는 곳에서 잎 사이사이 바람이 잘 통하도록 해주시면 초보 식집사도 건강하게 키울 수 있어요. 아틀란티스 세덤은 돌나물과의 다육식물이기 때문에 건조에도 강하고, 척박한 토양에서도 잘 자라는 뛰어난 생명력을 가지고 있답니다. 봄에는 크림색 새 순을 내어주고, 여름철에는 별모양의 노란 꽃이 피고, 가을에는 잎 테두리가 붉게 변해 계절이 바뀔 때마다 달라지는 모습을 지켜보는 재미가 있는 식물이에요.",평균 월 1~2회,양지 ,40~70%,15~30℃,-25℃ 이상,민트,다육/선인장,X,둥근모양,길쭉한,무늬가 있는,잎이 두꺼운,초보자,안전,소형,하,5천원~1만원,,,잎을 감상하는,둥근모양,초보자,안전,O
백망룡 선인장 (취설주),그림,Cleistocactus strausii,"백망룡 선인장은 통통한 기둥에 흰색 털이 난 것 같은 얇은 가시가 귀여운 선인장이에요. 보송보송한 털이 난 것 같아 털기둥 선인장으로도 불려요. 단단한 몸통에는 수분을 많이 머금고 있어 물을 자주 주지 않아도 되고, 밝은 햇빛이 오래 머무는 곳에서 주변 습도를 건조하게 키운다면 누구나 쉽게 키울 수 있어요. 겨울에는 성장을 멈추고 휴면을 하기 때문에 물을 주지 않고 관리하는 게 좋아요. 가시가 얇아 다칠 수 있으니 반려동물과 어린아이가 있는 집은 주의가 필요해요.","평균 월 1회 이하
단단한 몸통이 말랑해지면 듬뿍 주세요",양지 ,40% 이하 ,15~30℃,5℃ 이상,초록기둥에 흰색털,다육/선인장,O,,,,,초보자,안전,소형,하,1만5천원~2만5천원,,,꽃을 감상하는,하트모양,-,주의 필요,X
벌레잡이 제비꽃,그림,Pinguicula vulgaris,"벌레잡이 제비꽃은 작고 귀여운 도톰한 잎을 가진 식충식물이에요. 환경만 잘 맞으면 일년내내 제비꽃을 닮은 꽃을 피워 인기가 많은 식물이랍니다. 도톰한 잎에는 미세한 섬모가 나있고, 끈적한 점액이 묻어 있는데, 점액에서는 달콤한 꿀냄새가 나 벌레를 유인하고, 벌레가 점액에 앉으면 접착제처럼 끈끈하게 붙어서 도망가지 못하게 된답니다. 점액에 소화효소가 분비되어 붙은 벌레를 천천히 소화해 생장에 필요한 양분으로 사용한다고 해요. 벌레잡이 제비꽃은 은은한 빛이 드는 곳에서 흙이 바싹 마르지 않게 관리해주시고, 주변 습도를 항상 촉촉하게 해주면 초보 식집사도 건강하게 키울 수 있어요.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반양지 ,70% 이상 ,13~30℃,10℃ 이상,보라 꽃,꽃을 감상하는,X,둥근모양,길쭉한,잎이 두꺼운,,,,소형,하,5천원~7천원,,,열매를 감상하는,별모양,,,
퍼포리아 사라세니아,그림,Sarracenia purpurea,"퍼포리아는 화려한 색감의 투구모양을 닮은 주머니가 특징인 식충식물이에요. 이 주머니는 벌레를 잡는 '포충낭'이랍니다. 포충낭의 입구에서는 달콤한 꿀냄새가 나 벌레를 유인하고, 벌레가 앉으면 미끄러져 포충낭 속에 빠져 나오지 못하게 돼요. 포충낭 속에서는 소화효소가 분비되어 갇힌 벌레를 천천히 소화해 생장에 필요한 양분으로 사용한다고 해요. 퍼포리아는 촉촉한 환경을 아주 좋아해요. 흙이 바싹 마르지 않게 관리해주시고, 주변 습도를 항상 촉촉하게 해주면 초보 식집사도 건강하게 키울 수 있어요. 빛이 잘 들어오는 곳일수록 퍼포리아의 주머니가 예쁜 자주색으로 물든답니다.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",양지 ,70% 이상 ,13~35℃,10℃ 이상,밝은초록,잎을 감상하는,,둥근모양,무늬가 있는,구멍이 있는,잎이 두꺼운,초보자,,소형,하,5천원~8천원,,,다육/선인장,바늘모양,,,
네펜데스 알라타 (벌레잡이 통풀),그림,Nepenthes alata,"네펜데스 알라타는 포켓몬 우츠보트가 생각나는 항아리 모양의 주머니를 가진 식충식물이에요. 이 주머니는 벌레를 잡는 '포충낭'이랍니다. 포충낭의 입구에서는 달콤한 꿀냄새가 나 벌레를 유인하고, 벌레가 앉으면 미끄러져 포충낭 속에 빠져 나오지 못하게 돼요. 포충낭 속에서는 소화효소가 분비되어 갇힌 벌레를 천천히 소화해 생장에 필요한 양분으로 사용한다고 해요. 네펜데스 알라타는 촉촉한 환경을 아주 좋아해요. 흙이 바싹 마르지 않게 관리해주시고, 주변 습도를 항상 촉촉하게 해주면 초보 식집사도 건강하게 키울 수 있어요. 네펜데스 알라타는 공기 중의 유해물질을 흡착하는 능력도 뛰어나 실내 공기정화식물로도 훌륭한 역할을 해낸답니다.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반양지 ,70% 이상 ,12~30℃,10℃ 이상,붉은색의 포충낭,잎을 감상하는,,둥근모양,길쭉한,잎이 두꺼운,,초보자,,소형,하,6천원~9천원,,,,길쭉한,,,
긴 잎 끈끈이 주걱,그림,Drosera anglica,"긴 잎 끈끈이 주걱은 아침이슬이 촘촘히 맺힌 것 같이 반짝이는 잎을 가진 식충식물이에요. 이슬처럼 빛나는 액체는 사실 잎에서 분비하는 점액이랍니다. 이 점액에서는 달콤한 꿀냄새가 나 벌레를 유인하고, 벌레가 점액에 앉으면 접착제처럼 끈끈하게 붙어서 도망가지 못하게 한답니다. 점액에 소화효소가 분비되어 붙은 벌레를 천천히 소화해 생장에 필요한 양분으로 사용한다고 해요. 소화는 4일~7일 정도 걸리고, 소화가 되는 동안에는 잎을 아래로 구부린답니다. 긴 잎 끈끈이 주걱은 촉촉한 환경을 아주 좋아해요. 흙이 바싹 마르지 않게 관리해주시고, 주변 습도를 항상 촉촉하게 해주면 초보 식집사도 건강하게 키울 수 있어요","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반양지 ,70% 이상 ,12~30℃,10℃ 이상,초록 ,잎을 감상하는,,둥근모양,길쭉한,,,초보자,,소형,하,6천원~1만원,,,,갈라진,,,
파리지옥,그림,Dionaea muscipula,"파리지옥은 이빨이 난 몬스터의 입을 닮은 잎을 가지고 있는 식충식물이에요. 잎의 안쪽에는 달콤한 꿀냄새가 나 벌레를 유인하고, 벌레가 잎에 앉으면 예민한 신경이 반응해 잎을 왕! 하고 다물어 버린답니다. 닫힌 잎에서는 소화물질이 나와 벌레를 천천히 소화해 생장에 필요한 양분으로 사용한다고 해요. 소화는 4일~10일 정도 걸리고, 소화가 다 되고나면 잎이 다시 벌어져요. 파리지옥은 밝은 빛이 가장 오래 머무는 곳에서 흙이 바싹 마르지 않게 관리해주시면 초보 식집사도 건강하게 키울 수 있답니다. 움직이는 잎이 신기하다고 장난치든 잎을 건드리지 않도록 주의해 주세요. 잎을 여닫는 데 많은 에너지가 소모되어 잎이 쉽게 시들 수 있어요.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",양지 ,70% 이상 ,20~25℃,13℃ 이상,초록,잎을 감상하는,,둥근모양,바늘모양,길쭉한,잎이 두꺼운,초보자,,소형,하,6천원~1만원,,,,무늬가 있는,,,
홍기린 (홍채각),그림,Euphorbia enopla Boiss,"홍기린은 초록색의 몸통에 빨간 가시가 귀여운 선인장이에요. 강렬한 빛이 드는 따뜻한 곳에서 주변 공기를 건조하게 키워주시면 초보 식집사도 쉽게 키울 수 있답니다. 홍기린의 가시는 처음에는 날카롭지 않고 연둣빛을 띠지만, 햇빛을 받을수록 빨갛게 물드는 특징이 있어 가시의 변화를 관찰하는 재미가 있는 식물이에요. 또한 귀여운 자구가 동글동글 자라는 것을 관찰하는 재미도 있어요. 홍기린에 상처가 나면 우유같은 진액이 나오는데, 이 진액에는 독성이 있으니 손으로 만질 때는 장갑을 꼭 착용하고 만져주세요. 어린아이와 반려동물이 있는 곳에서는 주의가 필요합니다","평균 월 1~2회
단단한 몸통이 말랑해지면 듬뿍 주세요",양지 ,40% 이하 ,16~29℃,10℃ 이상,초록몸통에 빨간 가시,다육/선인장,O,,,,,,,소형,하,3천원~5천원,,,,구멍이 있는,,,
용비 선인장,그림,Myrtillocactus geometrizans 'Fukurokuryuzinboku',"용비 선인장은 청록색의 몸통에 특이한 생김새로 많은 사랑을 받고 있는 선인장이랍니다. 울퉁불퉁 도깨비 방망이를 닮아 '도깨비 방망이 선인장', 촛농이 흘러내린 것처럼 생겨 '촛불 선인장'이라고도 불려요. 용비 선인장은 따뜻한 햇살을 사랑하는 식물이에요. 강렬한 빛이 드는 따뜻한 곳에서 키워주시면 초보 식집사도 쉽게 키울 수 있답니다. 용비 선인장을 곧게 키우고 싶다면 화분을 주기적으로 돌려서 골고루 빛을 받을 수 있도록 해주세요.","평균 월 1회 이하
단단한 몸통이 말랑해지면 듬뿍 주세요",양지 ,40% 이하 ,15~30℃,5℃ 이상,청록색,다육/선인장,X,,,,,초보자,,소형,하,5천원~8천원,,,,잎 끝이 뾰족한,,,
하트펀 고사리 (헤미오니티스),그림,Hemionitis arifolia,"하트펀 고사리는 진한 녹색의 도톰한 하트모양 잎과 윤기나는 까만 줄기가 사랑스러운 고사리에요. 하트펀 고사리는 흙을 바싹 말리지 않고, 주변 공기를 항상 촉촉하게 해주신다면 초보 식집사도 건강하게 키울 수 있어요. 촉촉한 습도를 좋아하는만큼 주변 공기를 촉촉하게 해주는 가습능력도 뛰어나답니다! 또한 식물체에 독성이 없어 반려동물과 어린 아이가 있는 집에서도 안심하고 키울 수 있어요.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반음지 ,70% 이상 ,21~25℃,13℃ 이상,진한녹색,잎을 감상하는,,둥근모양,하트모양,길쭉한,잎 끝이 뾰족한,초보자,안전,소형,하,4천원~7천원,,,,잎이 두꺼운,,,
